grafana-1  | logger=migrator t=2025-06-25T22:04:34.602134604Z level=debug msg="Skipping migration: Already executed" id="add index api_key.account_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602136097Z level=debug msg="Skipping migration: Already executed" id="add index api_key.key"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602137733Z level=debug msg="Skipping migration: Already executed" id="add index api_key.account_id_name"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602139467Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_api_key_account_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60214113Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_api_key_key - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602142641Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_api_key_account_id_name - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602144186Z level=debug msg="Skipping migration: Already executed" id="Rename table api_key to api_key_v1 - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602145488Z level=debug msg="Skipping migration: Already executed" id="create api_key table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602147786Z level=debug msg="Skipping migration: Already executed" id="create index IDX_api_key_org_id - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602149315Z level=debug msg="Skipping migration: Already executed" id="create index UQE_api_key_key - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.6021515Z level=debug msg="Skipping migration: Already executed" id="create index UQE_api_key_org_id_name - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602153151Z level=debug msg="Skipping migration: Already executed" id="copy api_key v1 to v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602154854Z level=debug msg="Skipping migration: Already executed" id="Drop old table api_key_v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602156894Z level=debug msg="Skipping migration: Already executed" id="Update api_key table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602159328Z level=debug msg="Skipping migration: Already executed" id="Add expires to api_key table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602160769Z level=debug msg="Skipping migration: Already executed" id="Add service account foreign key"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602162251Z level=debug msg="Skipping migration: Already executed" id="set service account foreign key to nil if 0"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602163673Z level=debug msg="Skipping migration: Already executed" id="Add last_used_at to api_key table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602165116Z level=debug msg="Skipping migration: Already executed" id="Add is_revoked column to api_key table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602168957Z level=debug msg="Skipping migration: Already executed" id="create dashboard_snapshot table v4"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602170638Z level=debug msg="Skipping migration: Already executed" id="drop table dashboard_snapshot_v4 #1"
